Round,Player1,Player1_Deck,Player1_Wins,Player2,Player2_Deck,Player2_Wins,Draws,IsBye,Result
1,Seamus Kelahan,Dimir Excruciator,0,abertram,Sultai Reanimator,2,0,False,abertram won 2-0-0
1,Jau-En Shih,Boros Dragons,2,Vaughn Weirens,Mono-Green Landfall,1,0,False,Jau-En Shih won 2-1-0
1,Johnny Deluna,Izzet Elementals,0,Grace Levy,Azorius Tempo,2,0,False,Grace Levy won 2-0-0
1,ETHAN WAMEGO,Five-Color Control,2,Montgomery Knifer,Izzet Spellementals,0,0,False,ETHAN WAMEGO won 2-0-0
1,Darren Rucker,Azorius Tempo,2,Christopher Henderson,Azorius Otters,1,0,False,Darren Rucker won 2-1-0
1,PhyrexianJohn,Jeskai Control,0,Stephen Francis,Rakdos Goblins,2,0,False,Stephen Francis won 2-0-0
1,Eden Anderson,Izzet Otters,2,EthE,Temur Harmonizer,0,0,False,Eden Anderson won 2-0-0
1,Ron Barutha,Boros Artifacts,0,Alexander Beebe,Temur Harmonizer,2,0,False,Alexander Beebe won 2-0-0
1,Austin Graham,Izzet Lessons,2,Julian Weiswasser,Mono-Green Landfall,1,0,False,Austin Graham won 2-1-0
1,Steven Yean,Dimir Excruciator,2,Brian Hodge,Sultai Elementals,0,0,False,Steven Yean won 2-0-0
1,Taylor Wingard,Temur Harmonizer,2,Chad Leiske,Izzet Lessons,0,0,False,Taylor Wingard won 2-0-0
1,Scottie Taylor,Izzet Lessons,2,Jonthan6646,Azorius Control,0,0,False,Scottie Taylor won 2-0-0
1,Alberto Jimenez De Jesus,Jeskai Control,0,Bryan Hohns,Dimir Midrange,2,0,False,Bryan Hohns won 2-0-0
1,Aaron Kaufman-Haft,Izzet Lessons,1,Benji Solomon,Mono-Green Landfall,2,0,False,Benji Solomon won 2-1-0
1,Nick Granered,Four-Color Control,0,Joshua Willis,Izzet Lessons,2,0,False,Joshua Willis won 2-0-0
1,YNG_K0Bur,Izzet Lessons,1,drewjhowells,Mono-Green Landfall,2,0,False,drewjhowells won 2-1-0
1,MrPanguin,Simic Rhythm,1,Espen_Lunden,Jeskai Control,2,0,False,Espen_Lunden won 2-1-0
1,ItsAugust,Dimir Excruciator,2,Kevin Bell,Mono-Red Aggro,1,0,False,ItsAugust won 2-1-0
1,Cheech2k10,Mono-Green Landfall,0,Matt Crews,Mono-Green Landfall,2,0,False,Matt Crews won 2-0-0
1,Leo Cooper,Esper Pixie,2,Joshua Hougland,Dimir Midrange,1,0,False,Leo Cooper won 2-1-0
1,Tyler Johnston,Simic Rhythm,2,Christopher Sheppard,Dimir Excruciator,0,0,False,Tyler Johnston won 2-0-0
1,Kris Melby,Boros Aggro,2,Mikhail Brawner,Sultai Reanimator,0,0,False,Kris Melby won 2-0-0
1,Jordan Vonderwell,Mono-Green Landfall,2,Matthew Giglio,Izzet Blink,1,0,False,Jordan Vonderwell won 2-1-0
1,Andrew Kach,Dimir Excruciator,2,Brad Fallen,Izzet Lessons,0,0,False,Andrew Kach won 2-0-0
1,Caz Rodriguez,Izzet Elementals,0,John Cuvelier,Gruul Landfall,2,0,False,John Cuvelier won 2-0-0
1,Eric Struble,Mono-Black Midrange,1,Dustin Kelley,Mono-Green Landfall,2,0,False,Dustin Kelley won 2-1-0
